0,Difference in Expected Annual Damage Gorssel-Deventer,Difference in Expected Number of Deaths Gorssel-Deventer,Gorssel Expected Annual Damage,Gorssel Expected Number of Deaths
0_RfR 0,0.009308685218595666,0.011643627899193121,0.010853522242331045,0.00952114123151145
0_RfR 1,0.014768642308067232,0.013000437243326054,0.00775720092683065,0.008911051586814248
0_RfR 2,0.007930235905782627,0.012186890571915769,0.0066722643325712585,0.004183385002410392
1_RfR 0,0.008091076756880724,0.013053425430738945,0.007508612622756526,0.00832549885701839
1_RfR 1,0.009203463838023255,0.008905916940736829,0.08040257897497144,0.08154833375153592
1_RfR 2,0.008358362927415172,0.01104065211670049,0.0074404451556307595,0.004772550497122152
2_RfR 0,0.010488493437819966,0.011608955240488862,0.010349189204544553,0.01083541927917783
2_RfR 1,0.011306129407319251,0.012764503591365934,0.013664843655616633,0.019428227909455763
2_RfR 2,0.011596515295840387,0.009437570971609308,0.009072863120623291,0.0069066073987504835
3_RfR 0,0.0,0.0,0.0,0.0
3_RfR 1,0.0,0.0,0.0,0.0
3_RfR 2,0.0,0.0,0.0,0.0
4_RfR 0,0.0,0.0,0.0,0.0
4_RfR 1,0.0,0.0,0.0,0.0
4_RfR 2,0.0,0.0,0.0,0.0
A.0_ID flood wave shape,0.01769952641488858,0.017025908044450505,0.008124925735532406,0.0071433813514971125
A.1_Bmax,0.01547129099877956,0.014332520945796493,0.007596082158692175,0.005053174312362474
A.1_Brate,0.014617186985572789,0.01402301870303033,0.011999353248889335,0.006835263005934955
A.1_DikeIncrease 0,0.018615202632937304,0.015373300882365852,0.008153642230257064,0.007942658979661942
A.1_DikeIncrease 1,0.014062143149136081,0.013508126209017942,0.01033057300632985,0.008197424659004865
A.1_DikeIncrease 2,0.010120648647322672,0.009129497890377,0.0074593226672965435,0.008401734644230763
A.1_pfail,0.01040024421877002,0.01446652221662464,0.006804063103548528,0.006643460628316723
A.2_Bmax,0.013012629440036288,0.011965394253438911,0.009128160859384608,0.00778305182049927
A.2_Brate,0.01408098258467585,0.015516154492035777,0.011949494395149234,0.009569470000436543
A.2_DikeIncrease 0,0.015894792612978628,0.016530391776563895,0.019377523411109043,0.013196433324690827
A.2_DikeIncrease 1,0.015105000564467046,0.0179804279535442,0.022786097746269125,0.025773860820546585
A.2_DikeIncrease 2,0.00906235335035834,0.01408840394297546,0.009178608350236256,0.009011713863553802
A.2_pfail,0.00930924794359477,0.009059872235100859,0.010419550710798852,0.008228869259445123
A.3_Bmax,0.005773356379881445,0.008315836278591025,0.008284108786466267,0.00672110131037453
A.3_Brate,0.012760979934760414,0.01472188780998242,0.007917455203855875,0.008558238571600178
A.3_DikeIncrease 0,0.010917319428031575,0.011422659588799367,0.012896236532777144,0.013414109603497155
A.3_DikeIncrease 1,0.0120191961966598,0.014281715355822868,0.00804602474718108,0.009051436290915843
A.3_DikeIncrease 2,0.007531704351067986,0.008519459253003894,0.011033665030999638,0.0065907677553907786
A.3_pfail,0.009933858576613719,0.008611228797191627,0.008431279849043896,0.00924680927142601
A.4_Bmax,0.01978336583314289,0.018176993898477226,0.0090042402115371,0.009161916526555099
A.4_Brate,0.010119844539821224,0.01354638820515561,0.009245593142368159,0.009477735272574337
A.4_DikeIncrease 0,0.0,0.0,0.0,0.0
A.4_DikeIncrease 1,0.0,0.0,0.0,0.0
A.4_DikeIncrease 2,0.0,0.0,0.0,0.0
A.4_pfail,0.027075106259694705,0.03972876473516518,0.56052444255188,0.6036757881119277
A.5_Bmax,0.014369944152929179,0.013078369443118965,0.008221606834921825,0.010071110728752998
A.5_Brate,0.01362419376591926,0.011038189326326811,0.010771599381797201,0.005834632050601681
A.5_DikeIncrease 0,0.0,0.0,0.0,0.0
A.5_DikeIncrease 1,0.0,0.0,0.0,0.0
A.5_DikeIncrease 2,0.0,0.0,0.0,0.0
A.5_pfail,0.5345439836754983,0.5197076536997877,0.012811538731450018,0.010163681209266933
EWS_DaysToThreat,0.0,0.0,0.0,0.0
discount rate 0,0.01684094029494586,0.012630976777301656,0.010462560954231414,0.0066752325445910265
discount rate 1,0.02510456571943792,0.011908072299413437,0.010761594494870463,0.00694465042694224
discount rate 2,0.011098786252333546,0.0076702849804651104,0.014559135687250613,0.006200078141605971
