,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2
0,0,0,0,0,0,0,3,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,10,0,0
2,0,0,0,0,0,0,2,0,0,0,8,0,0
3,0,0,0,0,0,0,0,0,2,0,9,2,0
4,0,0,0,0,0,0,3,0,0,0,2,0,0
5,0,0,0,0,0,0,0,1,3,0,10,2,0
6,0,0,0,0,0,0,3,0,0,0,5,0,0
7,1,1,0,0,0,0,2,2,0,0,10,0,0
8,0,0,0,0,0,0,1,0,0,0,9,0,0
9,0,0,0,0,0,0,0,0,4,0,9,3,0
10,0,1,0,0,0,0,0,2,1,0,10,1,0
0,0,0,0,0,0,0,3,5,0,0,5,0,0
1,0,0,0,0,0,0,0,3,0,0,4,0,0
2,0,0,0,0,0,0,1,1,0,0,1,0,0
3,0,0,0,0,0,0,0,2,0,0,3,0,0
4,0,0,0,0,0,0,0,4,0,0,4,0,0
5,0,0,0,0,0,0,0,4,0,0,5,0,0
6,0,0,0,0,0,0,1,2,0,0,2,0,0
7,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,1,0,0,0,3,1,0,0,10,0,0
3,0,0,0,0,0,0,3,0,0,0,8,0,0
4,0,0,0,0,0,0,3,0,0,0,6,0,0
5,0,0,0,0,0,0,0,0,0,0,10,0,0
6,0,0,0,0,0,0,0,0,0,0,2,0,0
8,0,0,0,0,0,0,1,0,0,0,4,0,0
10,0,0,0,0,0,0,3,0,0,0,1,0,0
11,0,0,0,0,0,0,3,0,0,0,4,0,0
12,0,0,0,0,0,0,1,0,0,0,1,0,0
13,0,0,0,0,0,0,3,0,0,0,7,0,0
14,0,0,0,0,0,0,1,0,0,0,7,0,0
15,0,0,0,0,0,0,3,0,0,0,3,0,0
16,0,0,0,0,0,0,3,0,2,0,10,2,0
17,0,0,0,0,0,0,0,0,1,0,10,1,0
0,0,0,0,0,0,0,0,6,0,0,3,0,0
1,0,0,0,0,0,0,3,9,0,0,5,0,0
2,0,0,0,0,0,0,0,7,0,0,3,0,0
3,0,0,0,0,0,0,2,4,0,0,0,0,0
4,0,0,0,0,0,0,2,1,0,0,0,0,0
5,0,0,0,0,0,0,0,9,0,0,4,0,0
6,0,0,0,0,0,0,0,7,0,0,4,0,0
8,0,0,0,0,0,0,2,2,0,0,0,0,0
9,0,0,0,0,0,0,0,8,0,0,5,0,0
10,0,0,0,0,0,0,2,3,0,0,0,0,0
11,0,0,0,0,0,0,1,5,0,0,1,0,0
12,0,0,0,0,0,0,1,5,0,0,2,0,0
0,0,0,0,0,0,0,2,4,0,0,6,0,0
1,0,0,0,0,0,0,0,3,0,0,5,0,0
3,0,0,0,0,0,0,0,1,0,0,4,0,0
4,0,0,0,0,0,0,0,2,0,0,5,0,0
5,0,0,0,0,0,0,2,0,0,0,1,0,0
6,0,0,0,0,0,0,2,0,0,0,2,0,0
7,0,0,0,0,0,0,1,0,0,0,3,0,0
8,0,0,0,0,0,0,0,1,0,0,3,0,0
